work,performance,hpcp_0,hpcp_1,hpcp_2,hpcp_3,hpcp_4,hpcp_5,hpcp_6,hpcp_7,hpcp_8,hpcp_9,hpcp_10,hpcp_11,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11
100010,100010,0.42346662,0.5934603,0.26191595,0.40054762,0.23388767,0.4395175,0.4065541,0.2734061,0.5420059,0.2604941,0.40672028,0.2670007,0.1891032379149382,0.19516198908438823,0.2418814190488376,0.24949492529157816,0.24881747635364698,0.29763464099175324,0.28130759302609426,0.24530269397015245,0.2545281007718142,0.324315867794583,0.3576418485022353,0.2674763829206273
100010,635286,0.4672548,0.47373113,0.2988907,0.38904697,0.29772818,0.46694764,0.45712453,0.35321817,0.5153536,0.3011133,0.38330078,0.3251953,0.24084939281298645,0.2663338314477246,0.30316946165311837,0.2979425056939409,0.2954709550280098,0.3025782508871496,0.26665718205891736,0.23353668109475875,0.2358078704704598,0.2741605000571171,0.24902659476593167,0.21690309179250572
100027,100027,0.4243516,0.5953825,0.2650659,0.40057835,0.41301614,0.556579,0.47264206,0.26754397,0.5392876,0.32949662,0.41977778,0.44448572,0.20335399327687198,0.2439822888065901,0.28405398230752565,0.24803941112772035,0.26638621658547423,0.3204343680875666,0.2704430994335179,0.21402322446652453,0.24691271027735942,0.313148484915523,0.32562025965427427,0.222170395607645
100027,100028,0.34613958,0.5140783,0.28066576,0.3778098,0.4428417,0.4113588,0.4628738,0.2881483,0.48962379,0.29583248,0.36717126,0.39329955,0.22339049975005873,0.25503419443837594,0.27967836349842135,0.26304956509927824,0.2604680796827226,0.24242868271797524,0.2127631575727747,0.22281187229042887,0.2496223196526858,0.2720432467587461,0.2572680364546742,0.20736237395628118
100108,190628,0.66920227,0.18993565,0.27760026,0.42687583,0.19970252,0.47950637,0.21338521,0.60724324,0.30485642,0.28729224,0.45462754,0.19282438,0.1845775416400926,0.201137534687076,0.22615808694929304,0.2595865569232392,0.30177805670025704,0.25003115589749597,0.22628280047522323,0.23966522609290689,0.29295096844174845,0.3368392859127989,0.2433348790705609,0.17592963439709056
100108,646934,0.34963608,0.52242094,0.20889951,0.5061661,0.23697057,0.58104527,0.406429,0.2042379,0.43057734,0.23324943,0.593447,0.21220878,0.27435643742870086,0.28240075707540946,0.30346144257209523,0.2620917146921206,0.19180082246338992,0.19608004901722006,0.2769426732657514,0.3093872207610751,0.22646529872861032,0.23561119812866227,0.27495053829077853,0.2236894377367068
100147,505895,0.2794051,0.33282223,0.21460333,0.7148475,0.1673484,0.27910313,0.366907,0.23463804,0.4792641,0.17189269,0.4922472,0.1977618,0.37749634796277504,0.2676126606363637,0.18269570249514208,0.20402740330236818,0.23220641215229484,0.23986888791285543,0.26749252049465055,0.2846728316927904,0.22289040671345833,0.17627918422053665,0.19142289200454618,0.30387919347664466
100147,784208,0.49223065,0.22393747,0.34811142,0.36175236,0.2799413,0.58168554,0.23880035,0.36618185,0.40712568,0.28212714,0.38824767,0.26855022,0.2713108992744318,0.2797947738089479,0.30459777795295634,0.23309712994922052,0.1720951400116923,0.19337209426271584,0.1904592241143372,0.18301344647119613,0.22341972647615757,0.22845539786576122,0.27316661794200825,0.2982834620847649
100158,100158,0.29308233,0.41090626,0.21483111,0.53930867,0.2654926,0.33446363,0.31324938,0.23925094,0.6704708,0.23860115,0.3039193,0.36546662,0.27882862562258287,0.22569810986761663,0.19374662143246163,0.21239233702953214,0.32697740257029584,0.4022437459577095,0.32215345771896275,0.20955818178920163,0.20278633130413315,0.18583129415876048,0.19796230358540293,0.23333734164091546
100158,297976,0.25923356,0.40622622,0.27705467,0.6576672,0.19539638,0.23705839,0.3723652,0.22048643,0.694251,0.34339654,0.2943972,0.2943982,0.35725896907679405,0.27237966219119325,0.20760306227426636,0.23995661007945704,0.3198618285608576,0.3755625703586459,0.3467751958215456,0.22942163382792694,0.16030096264034846,0.1618309734476258,0.19856881380704655,0.27405499448420306
100202,100203,0.77301323,0.11195104,0.32095116,0.12404544,0.50918734,0.48969853,0.117257975,0.5858602,0.13352157,0.4503205,0.21261695,0.20526765,0.10357416013506944,0.28070070724203494,0.29587512496241214,0.2525709411282119,0.2083422790836929,0.1792288799716108,0.16132504305672185,0.11239863281111426,0.29513762123269144,0.44548345154000574,0.2923242552043794,0.053410989096304026
100202,411537,0.33735347,0.26566112,0.27957433,0.73938596,0.23210546,0.33690223,0.21336047,0.48025912,0.5003916,0.21565436,0.4283125,0.22243373,0.3491269854961643,0.2685749964255882,0.12984495542570182,0.2227680569272923,0.3715495762882099,0.36371657462885465,0.2266496146331491,0.18621029532921268,0.15322785310844184,0.14065777807307628,0.118015406154818,0.21997144162716378
100235,100235,0.6460426,0.2706387,0.32552272,0.30160147,0.32273173,0.8186845,0.25720346,0.5709901,0.30087984,0.4039459,0.5251193,0.2617262,0.14873532758319258,0.3293547651376215,0.40993721765246,0.2916358217484957,0.19569106065735925,0.1734893568044994,0.24167842285440477,0.2687549844972946,0.3156919994240295,0.318671277658234,0.22962585065963964,0.14230823787090396
100235,137635,0.69678205,0.16410114,0.27665874,0.29202265,0.2261447,0.8331432,0.16772369,0.4533854,0.23226248,0.34269613,0.42115447,0.19148007,0.13814852067394356,0.3230307746137979,0.44470748519424813,0.33974422954054684,0.1933064096340205,0.16127841122266331,0.19931937997482918,0.2055341853452039,0.2461724901642043,0.2730228097329326,0.17565807558093416,0.1329999565532614
100383,640710,0.67619336,0.16547476,0.4446164,0.21940382,0.5209561,0.42565474,0.24224366,0.5965238,0.18991192,0.3785793,0.26391,0.33572206,0.16090349493590328,0.15986547366472703,0.15890027247685432,0.21969014906255666,0.27324179365993456,0.19821910166099732,0.12816684930954114,0.1716748240808116,0.36697690857304716,0.4375619319388711,0.3547910856245642,0.22541582916781222
100383,714345,0.66515183,0.15120393,0.43242404,0.23411892,0.48834512,0.3438525,0.16921948,0.6400395,0.21464297,0.41314125,0.23370235,0.2598453,0.20350647239782452,0.21454611500278592,0.21835469110043884,0.27851571563225835,0.35331246949623146,0.30721374883777625,0.21450381302963584,0.19804966464423135,0.2928458147021413,0.35420474672797436,0.2690757773586038,0.1726454892642109
10042,141482,0.32098657,0.62750924,0.31250602,0.40497947,0.45395973,0.2872799,0.7069468,0.33826673,0.47845048,0.41534045,0.47576123,0.52583635,0.20293872812271938,0.2896243811735113,0.3528448146334484,0.41364565522592994,0.360762990787778,0.27306119195470596,0.2442318132340925,0.24167085428835072,0.20318794041656174,0.1921629112527993,0.23994338148702607,0.19794349600724337
10042,646393,0.67360204,0.25018597,0.47318274,0.3292724,0.44677618,0.44562668,0.23545147,0.7194843,0.24177969,0.41185072,0.4139032,0.33182803,0.2337533075410847,0.2204756561340638,0.20400549378931426,0.2634243696809085,0.351992933802609,0.2912721948263073,0.23897657013021878,0.25884789821372756,0.2850958482699497,0.31824108755785907,0.2719638105243666,0.2348186223772499
100466,262955,0.3885535,0.38912657,0.40117925,0.31652388,0.5616831,0.32933146,0.38283423,0.39933154,0.35976142,0.5820355,0.36627522,0.38214272,0.29052445460025744,0.33857008447875314,0.2656629855910588,0.17474809349699516,0.16811527671694548,0.275662626558548,0.3783394128302614,0.3120190813183008,0.20618387333519228,0.1717438823531438,0.20150348036609123,0.21356085950300702
100466,486727,0.45154893,0.41738927,0.2060628,0.5817147,0.19180986,0.39230812,0.24543421,0.29674202,0.7622596,0.19273071,0.39553526,0.2013238,0.2775975325729041,0.22790158721425505,0.18168601804760437,0.18938832688291485,0.30808053498639226,0.3801162773984953,0.2928510150916186,0.1686385160748709,0.1662760104494601,0.24487554054960395,0.2639733983246688,0.26862508062673096
100672,201600,0.51171553,0.25873524,0.39790446,0.42961672,0.25781444,0.4258223,0.25879902,0.46124446,0.34709123,0.31182137,0.42903188,0.27271378,0.2820227924499858,0.25546631080813575,0.18990779619465836,0.2046011677449635,0.24346264463954168,0.22971200171649186,0.2188954418702565,0.2355144948569055,0.2657770182806819,0.25031968831746026,0.21446927887263684,0.21109823918283288
100672,439413,0.34222832,0.41136724,0.20564991,0.44991618,0.36556643,0.47621632,0.26551068,0.23024863,0.36814842,0.3315551,0.60215724,0.2451467,0.2013128670029964,0.2846527342034718,0.3320185551020238,0.2841394665875577,0.23169378841705612,0.22927623232229202,0.29005825602401325,0.2798132074929578,0.21953090292541594,0.17686304529094485,0.17844420033392272,0.16132584309895237
100698,100698,0.38889903,0.2825963,0.5023734,0.31307283,0.38667795,0.40138185,0.2932009,0.6216841,0.35271662,0.2954497,0.33625174,0.42362207,0.21532205599908177,0.19914437081591974,0.2258751508094642,0.3323161383593978,0.37817903005545855,0.2512839739174195,0.13294016359393476,0.177729973289743,0.21065894213320302,0.19956237132013704,0.2576801537278846,0.2960738816444864
100698,671221,0.54466486,0.26456243,0.39310333,0.43319044,0.30658776,0.59206355,0.24367881,0.3792086,0.38493195,0.41093105,0.46212104,0.27598464,0.24687555432856106,0.2832868459477551,0.2944739023775031,0.2132908561143778,0.18615664103945528,0.22679032209881322,0.2937715403808664,0.2720475662135189,0.26785222503682465,0.2879550410934663,0.23299446435748478,0.23091805778159924
100961,100961,0.45661265,0.2854498,0.55832785,0.27020383,0.36522186,0.46046507,0.30605492,0.62594,0.23203751,0.42489588,0.34463945,0.40942687,0.2637549114477969,0.20545869334547012,0.22187824318826307,0.2760679096147284,0.31505344161143994,0.249404429387215,0.17917130803759077,0.1923648680207325,0.23288394463058262,0.23142342083482437,0.24409554110426446,0.31418522564768786
100961,475786,0.50757736,0.25926924,0.52105707,0.21939456,0.3916097,0.42902523,0.2618184,0.65908855,0.23126607,0.4001859,0.35046422,0.49150053,0.259066148770556,0.24366263332103935,0.22577818593065005,0.27145426346235163,0.32544495474439006,0.2587007676426095,0.22827288152022981,0.2909890708777887,0.3295148110154015,0.2783853373335506,0.24729966793527644,0.24262880935054557
101010,263395,0.25847903,0.56373507,0.2549289,0.36874744,0.2631143,0.39939213,0.5214209,0.21436082,0.4555026,0.27097216,0.41032097,0.3599856,0.1850937659201582,0.1887814206266536,0.2540858078915888,0.2833953520448865,0.27384922731524164,0.2599128774974488,0.25207737073581965,0.26081859668604773,0.2251337915846145,0.23339633407559168,0.2778707802160685,0.2142231430684399
101010,618946,0.5416882,0.1844174,0.38323507,0.16624701,0.38656414,0.46660832,0.16221309,0.44169545,0.18264365,0.31919554,0.30881837,0.1831804,0.17231371200419712,0.24264147517823811,0.25679268860163884,0.26171238012358417,0.23515938251543916,0.20532753820678917,0.1617020987405979,0.16044589683487495,0.241473183427918,0.3019394713251502,0.28035701546375197,0.1693535663848739
101035,419326,0.41323546,0.39574385,0.30312878,0.33329672,0.40621725,0.40899324,0.37685248,0.4181975,0.36108243,0.29398403,0.32376963,0.33286956,0.19987086621747407,0.23781522558243295,0.27186261896688146,0.3133032937003727,0.32611146357614595,0.2514735738212947,0.17889735844517457,0.18409519114729053,0.2236133123046955,0.26725311201036867,0.2720669023684028,0.21235341365204932
101035,716905,0.4871049,0.36629763,0.3341251,0.34233952,0.35483494,0.46505737,0.34102267,0.45610413,0.34194806,0.3088469,0.4047085,0.36020613,0.21700520937763604,0.252627431036517,0.28713907956479157,0.3133856423155906,0.32012482120517877,0.2747311191441818,0.2279849553338583,0.2246813413748217,0.24470375184180979,0.2769261026271959,0.25374818197108867,0.21350868816801288
101059,101059,0.25170833,0.3204309,0.60245454,0.19580412,0.5384578,0.20748475,0.46327844,0.41244787,0.2756357,0.64067787,0.20686787,0.3961458,0.2788674945375225,0.22024700979772396,0.22344679920242538,0.25284824311635634,0.23564529316489086,0.2841159830940531,0.3070786989966931,0.22446674700057911,0.14526453169707723,0.11943385550739222,0.2617487844327267,0.3075541934270895
101059,183808,0.5565513,0.1998281,0.39578372,0.32022628,0.32270396,0.63785493,0.20038246,0.46011344,0.23517172,0.4006511,0.4519948,0.21381949,0.21911613719486592,0.2957872281637913,0.34003416253582525,0.2793152653011817,0.22488169463720323,0.21975217601716543,0.2698167550244229,0.2604931663736352,0.22390255143494014,0.24637358750886718,0.20443815505587531,0.18979140145718745
101069,101069,0.51836157,0.40505776,0.41585317,0.6285131,0.36030346,0.49133518,0.37087357,0.44375676,0.53017294,0.35447764,0.49937782,0.37837481,0.2763039322049471,0.2315468967522812,0.1928453841540034,0.2274467882432385,0.30201114347935304,0.3213792808515623,0.3149145977402361,0.28680240810921365,0.261373382566557,0.25800906591452444,0.24703931644296043,0.25982137306083314
101069,101070,0.5588626,0.28679582,0.38010186,0.50058216,0.30733362,0.4886772,0.23511975,0.55598694,0.41602403,0.3076695,0.489124,0.31402108,0.20850976219952616,0.18905031756862367,0.1639712306447737,0.17540115432152006,0.25945479889265927,0.27452412953549143,0.2864215271966426,0.3282090377992709,0.34359833249809735,0.3213510234409883,0.24693174107939772,0.20360282814868913
101193,101193,0.43799806,0.34162518,0.49490476,0.40976086,0.31222427,0.6444284,0.28659236,0.41482687,0.3180556,0.3287971,0.5975874,0.2881506,0.238762794055052,0.28968296685823325,0.33623663539002074,0.2718169902897844,0.18746834523474865,0.17515453512364368,0.24446253155928538,0.30487855899477856,0.27927517518862005,0.2626480467131211,0.2885102235887127,0.292053262893911
101193,345283,0.5422791,0.26176557,0.6730852,0.27669504,0.54567796,0.39679027,0.3366987,0.7307345,0.30451384,0.46540958,0.3785497,0.5220955,0.24344310146670356,0.22700950619503818,0.2292303742632139,0.30591482235085554,0.3651709042098669,0.26643847091447187,0.21994178755878926,0.24665620239855546,0.2748750959770086,0.26076022526981124,0.27012030686414534,0.2812330944798501
101331,101331,0.41771922,0.26906577,0.21571182,0.73882234,0.09706218,0.44644207,0.17576368,0.35596263,0.5506794,0.115034446,0.5212356,0.113093846,0.3738248559771141,0.26478446391243116,0.12676671768912545,0.128378792162494,0.26046724173584795,0.2986137963196389,0.3081888096272022,0.2560231070688296,0.1964679516005655,0.14220483120044558,0.10505599666038899,0.25827035019365385
101331,101333,0.4777306,0.18504387,0.34148228,0.5089161,0.15050785,0.5567112,0.16192405,0.47277275,0.29615605,0.20584716,0.5541504,0.1850572,0.2265132059197049,0.23877125813426986,0.2444626994705405,0.2781681664476944,0.32135975253757665,0.28940815346579446,0.20621793959269638,0.19002150096690829,0.17478641511311535,0.17246183685098243,0.1323757583415865,0.18862686344656515
10145,149638,0.5239755,0.32307526,0.46552375,0.36589727,0.41714957,0.5662432,0.33361998,0.50636095,0.3321637,0.45220944,0.43658963,0.34295854,0.23168368742595122,0.2698153788441508,0.2965256948406828,0.28047452948611207,0.24992017517246892,0.20403735724122923,0.22189590906541057,0.250228296980445,0.28504702038662605,0.2860664356545091,0.27063403740215936,0.2439189917801017
10145,631454,0.24555624,0.36296725,0.21011202,0.2863432,0.5802969,0.12898667,0.31188118,0.22061458,0.36163035,0.44523188,0.12525092,0.39247626,0.24394245299001827,0.287135263981581,0.20938781306104923,0.18253235371253204,0.22994711285920183,0.3007211981760553,0.28545283441587394,0.24813313698718886,0.24660685432262036,0.24896013386861943,0.21012942999002512,0.16710804437519733
